actuacion;Identificador_pregunta;1;2;3;4;5;prom;sum;nivel
Conexion;ncox;0,014388489208633094;0,050359712230215826;0,39568345323741005;0,30935251798561153;0,2302158273381295;3,6906474820143886;139,0;nosotros 1
Equilibrio;nequ;0,04316546762589928;0,16546762589928057;0,28776978417266186;0,2517985611510791;0,2517985611510791;3,5035971223021583;139,0;nosotros 1
Proposito;npro;0,22302158273381295;0,14388489208633093;0,381294964028777;0,1223021582733813;0,12949640287769784;2,79136690647482;139,0;nosotros 1
Orgullo (eNps);norg;0,11510791366906475;0,03597122302158273;0,2589928057553957;0,12949640287769784;0,460431654676259;3,7841726618705036;139,0;nosotros 1
Pedir ayuda;npay;0,09352517985611511;0,07913669064748201;0,2302158273381295;0,2517985611510791;0,34532374100719426;3,676258992805755;139,0;nosotros 1
Contribucion;ncon;0,007194244604316547;0,04316546762589928;0,2302158273381295;0,33093525179856115;0,38848920863309355;4,0503597122302155;139,0;nosotros 1
Retroalimentacion;nret;0,11510791366906475;0,06474820143884892;0,2517985611510791;0,2589928057553957;0,30935251798561153;3,58273381294964;139,0;nosotros 1
Reconocimiento;nrec;0,08633093525179857;0,09352517985611511;0,2949640287769784;0,2158273381294964;0,30935251798561153;3,568345323741007;139,0;nosotros 1
Liderazgo y trabajo en equipo;nlid;0,05755395683453238;0,09352517985611511;0,2158273381294964;0,3237410071942446;0,30935251798561153;3,7338129496402876;139,0;nosotros 1
Rituales;nrit;0,07913669064748201;0,09352517985611511;0,28776978417266186;0,2302158273381295;0,30935251798561153;3,597122302158273;139,0;nosotros 1
Comunicacion;ncom;0,050359712230215826;0,03597122302158273;0,15827338129496402;0,2158273381294964;0,539568345323741;4,158273381294964;139,0;nosotros 1
Conversaciones;ncov;0,02877697841726619;0,07194244604316546;0,18705035971223022;0,23741007194244604;0,4748201438848921;4,057553956834532;139,0;nosotros 1
Entorno saludable;nent;0,02158273381294964;0,02877697841726619;0,2158273381294964;0,3237410071942446;0,41007194244604317;4,071942446043166;139,0;nosotros 1
Innovacion;ninn;0,07194244604316546;0,08633093525179857;0,2589928057553957;0,30935251798561153;0,2733812949640288;3,6258992805755397;139,0;nosotros 1
Adaptabilidad;nada;0,0;0,05755395683453238;0,28776978417266186;0,35251798561151076;0,302158273381295;3,8992805755395685;139,0;nosotros 1
Toma de decisiones;ntom;0,07194244604316546;0,06474820143884892;0,1510791366906475;0,2517985611510791;0,460431654676259;3,964028776978417;139,0;nosotros 1
Empoderamiento;nemp;0,05755395683453238;0,1366906474820144;0,2302158273381295;0,302158273381295;0,2733812949640288;3,597122302158273;139,0;nosotros 1
Relaciones;nrel;0,0;0,04316546762589928;0,16546762589928057;0,23741007194244604;0,5539568345323741;4,302158273381295;139,0;nosotros 1
Superar metas;nsup;0,08633093525179857;0,10071942446043165;0,33093525179856115;0,2446043165467626;0,23741007194244604;3,446043165467626;139,0;nosotros 1
Conexion;nncox;0,050359712230215826;0,08633093525179857;0,26618705035971224;0,2805755395683453;0,31654676258992803;3,726618705035971;139,0;nosotros 2
Equilibrio;nnequ;0,04316546762589928;0,05755395683453238;0,14388489208633093;0,35251798561151076;0,4028776978417266;4,014388489208633;139,0;nosotros 2
Proposito;nnpro;0,1510791366906475;0,1079136690647482;0,28776978417266186;0,22302158273381295;0,2302158273381295;3,273381294964029;139,0;nosotros 2
Orgullo (eNps);nnorg;0,007194244604316547;0,0;0,09352517985611511;0,1366906474820144;0,762589928057554;4,64748201438849;139,0;nosotros 2
Pedir ayuda;nnpay;0,007194244604316547;0,02877697841726619;0,20863309352517986;0,4172661870503597;0,3381294964028777;4,0503597122302155;139,0;nosotros 2
Contribucion;nncon;0,014388489208633094;0,02877697841726619;0,17266187050359713;0,37410071942446044;0,41007194244604317;4,136690647482014;139,0;nosotros 2
Retroalimentacion;nnret;0,02877697841726619;0,09352517985611511;0,30935251798561153;0,3381294964028777;0,2302158273381295;3,647482014388489;139,0;nosotros 2
Reconocimiento;nnrec;0,014388489208633094;0,05755395683453238;0,2517985611510791;0,3381294964028777;0,3381294964028777;3,9280575539568345;139,0;nosotros 2
Liderazgo y trabajo en equipo;nnlid;0,050359712230215826;0,05755395683453238;0,22302158273381295;0,26618705035971224;0,4028776978417266;3,9136690647482015;139,0;nosotros 2
Rituales;nnrit;0,04316546762589928;0,1366906474820144;0,23741007194244604;0,2517985611510791;0,33093525179856115;3,6906474820143886;139,0;nosotros 2
Comunicacion;nncom;0,02158273381294964;0,02877697841726619;0,2589928057553957;0,31654676258992803;0,37410071942446044;3,9928057553956835;139,0;nosotros 2
Conversaciones;nncov;0,05755395683453238;0,18705035971223022;0,2446043165467626;0,1510791366906475;0,3597122302158273;3,568345323741007;139,0;nosotros 2
Entorno saludable;nnent;0,34532374100719426;0,05755395683453238;0,20863309352517986;0,23741007194244604;0,1510791366906475;2,79136690647482;139,0;nosotros 2
Innovacion;nninn;0,02158273381294964;0,03597122302158273;0,2158273381294964;0,08633093525179857;0,6402877697841727;4,287769784172662;139,0;nosotros 2
Adaptabilidad;nnada;0,05755395683453238;0,1223021582733813;0,4028776978417266;0,34532374100719426;0,07194244604316546;3,2517985611510793;139,0;nosotros 2
Toma de decisiones;nntom;0,02158273381294964;0,050359712230215826;0,2589928057553957;0,3597122302158273;0,30935251798561153;3,884892086330935;139,0;nosotros 2
Empoderamiento;nnemp;0,02877697841726619;0,09352517985611511;0,22302158273381295;0,26618705035971224;0,38848920863309355;3,8920863309352516;139,0;nosotros 2
Relaciones;nnrel;0,10071942446043165;0,014388489208633094;0,20863309352517986;0,17266187050359713;0,5035971223021583;3,964028776978417;139,0;nosotros 2
Superar metas;nnsup;0,0;0,007194244604316547;0,2302158273381295;0,4028776978417266;0,3597122302158273;4,115107913669065;139,0;nosotros 2
Conexion;tcox;0,014388489208633094;0,02158273381294964;0,1223021582733813;0,3597122302158273;0,48201438848920863;4,273381294964029;139,0;todos 1
Equilibrio;tequ;0,06474820143884892;0,11510791366906475;0,2805755395683453;0,2805755395683453;0,2589928057553957;3,553956834532374;139,0;todos 1
Proposito;tpro;0,0;0,05755395683453238;0,18705035971223022;0,33093525179856115;0,4244604316546763;4,122302158273381;139,0;todos 1
Orgullo (eNps);torg;0,0;0,007194244604316547;0,07913669064748201;0,2158273381294964;0,697841726618705;4,60431654676259;139,0;todos 1
Pedir ayuda;tpay;0,007194244604316547;0,014388489208633094;0,1366906474820144;0,3237410071942446;0,5179856115107914;4,330935251798561;139,0;todos 1
Contribucion;tcon;0,0;0,050359712230215826;0,2302158273381295;0,4028776978417266;0,31654676258992803;3,985611510791367;139,0;todos 1
Retroalimentacion;tret;0,007194244604316547;0,10071942446043165;0,31654676258992803;0,2805755395683453;0,2949640287769784;3,7553956834532376;139,0;todos 1
Reconocimiento;trec;0,06474820143884892;0,07194244604316546;0,35251798561151076;0,2805755395683453;0,2302158273381295;3,539568345323741;139,0;todos 1
Liderazgo y trabajo en equipo;tlid;0,02158273381294964;0,07194244604316546;0,15827338129496402;0,28776978417266186;0,460431654676259;4,093525179856115;139,0;todos 1
Rituales;trit;0,007194244604316547;0,10071942446043165;0,19424460431654678;0,2446043165467626;0,45323741007194246;4,0359712230215825;139,0;todos 1
Comunicacion;tcom;0,02158273381294964;0,1079136690647482;0,2733812949640288;0,31654676258992803;0,2805755395683453;3,726618705035971;139,0;todos 1
Conversaciones;tcov;0,014388489208633094;0,07913669064748201;0,33093525179856115;0,3597122302158273;0,2158273381294964;3,683453237410072;139,0;todos 1
Entorno saludable;tent;0,007194244604316547;0,09352517985611511;0,2805755395683453;0,2805755395683453;0,3381294964028777;3,8489208633093526;139,0;todos 1
Innovacion;tinn;0,02158273381294964;0,02158273381294964;0,2517985611510791;0,2446043165467626;0,460431654676259;4,100719424460432;139,0;todos 1
Adaptabilidad;tada;0,014388489208633094;0,06474820143884892;0,2589928057553957;0,35251798561151076;0,30935251798561153;3,8776978417266186;139,0;todos 1
Toma de decisiones;ttom;0,02158273381294964;0,04316546762589928;0,2733812949640288;0,3669064748201439;0,2949640287769784;3,870503597122302;139,0;todos 1
Empoderamiento;temp;0,07194244604316546;0,14388489208633093;0,28776978417266186;0,2446043165467626;0,2517985611510791;3,460431654676259;139,0;todos 1
Relaciones;trel;0,050359712230215826;0,1079136690647482;0,26618705035971224;0,2302158273381295;0,34532374100719426;3,712230215827338;139,0;todos 1
Superar metas;tsup;0,0;0,02877697841726619;0,302158273381295;0,38848920863309355;0,2805755395683453;3,920863309352518;139,0;todos 1
Conexion;ttcox;0,007194244604316547;0,04316546762589928;0,1366906474820144;0,2733812949640288;0,539568345323741;4,294964028776978;139,0;todos 2
Equilibrio;ttequ;0,02877697841726619;0,11510791366906475;0,2805755395683453;0,4316546762589928;0,14388489208633093;3,5467625899280577;139,0;todos 2
Proposito;ttpro;0,03597122302158273;0,1079136690647482;0,33093525179856115;0,37410071942446044;0,1510791366906475;3,4964028776978417;139,0;todos 2
Orgullo (eNps);ttorg;0,014388489208633094;0,014388489208633094;0,07194244604316546;0,17985611510791366;0,7194244604316546;4,575539568345324;139,0;todos 2
Pedir ayuda;ttpay;0,04316546762589928;0,06474820143884892;0,1223021582733813;0,08633093525179857;0,6834532374100719;4,302158273381295;139,0;todos 2
Contribucion;ttcon;0,007194244604316547;0,04316546762589928;0,2302158273381295;0,3597122302158273;0,3597122302158273;4,0215827338129495;139,0;todos 2
Retroalimentacion;ttret;0,2949640287769784;0,07913669064748201;0,37410071942446044;0,2014388489208633;0,050359712230215826;2,633093525179856;139,0;todos 2
Reconocimiento;ttrec;0,19424460431654678;0,10071942446043165;0,28776978417266186;0,302158273381295;0,11510791366906475;3,0431654676258995;139,0;todos 2
Liderazgo y trabajo en equipo;ttlid;0,03597122302158273;0,014388489208633094;0,19424460431654678;0,3669064748201439;0,38848920863309355;4,057553956834532;139,0;todos 2
Rituales;ttrit;0,09352517985611511;0,1223021582733813;0,28776978417266186;0,2302158273381295;0,26618705035971224;3,4532374100719423;139,0;todos 2
Comunicacion;ttcom;0,014388489208633094;0,06474820143884892;0,16546762589928057;0,06474820143884892;0,6906474820143885;4,35251798561151;139,0;todos 2
Conversaciones;ttcov;0,02158273381294964;0,11510791366906475;0,17266187050359713;0,16546762589928057;0,5251798561151079;4,057553956834532;139,0;todos 2
Entorno saludable;ttent;0,014388489208633094;0,02877697841726619;0,18705035971223022;0,3669064748201439;0,4028776978417266;4,115107913669065;139,0;todos 2
Innovacion;ttinn;0,05755395683453238;0,09352517985611511;0,11510791366906475;0,1079136690647482;0,6258992805755396;4,151079136690647;139,0;todos 2
Adaptabilidad;ttada;0,02158273381294964;0,06474820143884892;0,16546762589928057;0,1366906474820144;0,6115107913669064;4,251798561151079;139,0;todos 2
Toma de decisiones;tttom;0,0;0,02877697841726619;0,05755395683453238;0,1366906474820144;0,7769784172661871;4,661870503597123;139,0;todos 2
Empoderamiento;ttemp;0,0;0,04316546762589928;0,2302158273381295;0,381294964028777;0,34532374100719426;4,028776978417266;139,0;todos 2
Relaciones;ttrel;0,0;0,014388489208633094;0,1510791366906475;0,33093525179856115;0,5035971223021583;4,323741007194244;139,0;todos 2
Superar metas;ttsup;0,0;0,007194244604316547;0,15827338129496402;0,33093525179856115;0,5035971223021583;4,330935251798561;139,0;todos 2
